"imdb_url_id","movie_id","ten_star","nine_star","eight_star","seven_star","six_star","five_star","four_star","three_star","two_star","one_star""tt0000001","1","183","37","114","227","419","328","141","66","67","74"
"tt0000002","2","39","11","15","36","38","15","11","8","8","20"
"tt0000003","3","135","55","162","361","319","170","64","31","39","32"
"tt0000004","4","25","9","8","16","25","11","6","2","7","13"
"tt0000005","5","189","72","205","439","581","376","118","76","45","49"
"tt0000006","6","14","1","9","14","18","25","9","6","5","14"
"tt0000007","7","38","11","38","77","169","177","62","34","29","26"
"tt0000008","8","218","52","134","211","339","406","185","98","83","94"
"tt0000009","9","13","4","10","43","27","28","9","1","5","15"
"tt0000010","10","829","318","802","1,708","1,299","717","162","77","84","78"
"tt0000011","11","14","4","6","34","57","84","28","16","10","13"
"tt0000012","12","1,868","752","2,106","3,017","1,365","813","188","107","89","104"
"tt0000013","13","93","37","100","235","448","391","141","58","40","39"
"tt0000014","14","510","344","935","1,488","747","345","112","58","44","67"
"tt0000015","15","56","32","81","160","244","131","59","25","13","27"
"tt0000016","16","71","39","87","193","337","282","110","29","28","31"
"tt0000017","17","10","2","7","16","46","69","37","17","18","21"
"tt0000018","18","20","9","20","57","121","136","57","25","16","19"
"tt0000019","19","3","0","4","1","3","1","2","0","1","5"
"tt0000020","20","9","9","12","20","43","83","45","19","11","17"
"tt0000021","21","93","37","100","235","448","391","141","58","40","39"
"tt0000022","22","33","6","25","85","183","318","123","50","29","40"
"tt0000023","23","53","20","78","184","319","276","111","48","30","29"
"tt0000024","24","6","0","0","3","5","13","8","4","7","8"
"tt0000025","25","2","0","1","2","2","7","4","1","4","6"
"tt0000026","26","60","21","78","190","400","329","110","46","41","40"
"tt0000027","27","44","18","56","120","271","236","95","32","23","36"
"tt0000028","28","35","12","36","73","183","279","110","54","37","39"
"tt0000029","29","162","90","243","489","857","579","229","91","73","64"
"tt0000030","30","22","19","29","81","148","195","80","55","32","29"
"tt0000031","31","35","13","56","113","228","221","84","26","35","29"
"tt0000032","32","12","5","14","33","79","100","44","19","15","20"
"tt0000033","33","36","19","56","130","230","197","94","35","32","27"
"tt0000034","34","12","2","3","17","28","37","17","4","6","8"
"tt0000035","35","5","4","3","3","13","14","8","2","1","5"
"tt0000036","36","7","0","9","28","56","163","109","58","36","28"
"tt0000037","37","4","1","0","2","5","10","8","5","3","5"
"tt0000038","38","6","0","4","8","16","41","31","17","12","16"
"tt0000039","39","2","0","0","0","1","1","2","3","1","5"
"tt0000040","40","2","0","1","2","5","8","7","6","2","6"
"tt0000041","41","116","54","236","446","353","146","54","25","18","20"
"tt0000042","42","2","1","1","1","2","5","5","0","0","6"
"tt0000043","43","1","0","1","0","1","2","4","0","0","5"
"tt0000044","44","3","1","0","1","4","9","3","1","1","6"
"tt0000045","45","2","1","0","1","2","3","4","1","0","4"
"tt0000046","46","2","1","0","0","3","2","4","1","0","5"
"tt0000047","47","1","0","1","0","2","0","6","2","0","5"
"tt0000048","48","10","3","4","11","19","38","15","11","3","15"
"tt0000049","49","6","0","1","1","3","3","4","1","1","5"
"tt0000050","50","2","0","0","1","2","0","5","1","0","4"
"tt0000051","51","1","1","0","0","2","2","4","1","0","5"
"tt0000052","52","3","0","2","4","6","20","8","8","5","6"
"tt0000053","53","0","0","0","0","1","1","1","2","0","4"
"tt0000054","54","3","1","1","0","4","5","2","0","0","4"
"tt0000055","55","1","1","0","0","2","2","4","1","1","5"
"tt0000056","56","1","0","0","1","1","1","0","3","0","5"
"tt0000057","57","2","0","1","0","3","0","5","1","0","4"
"tt0000058","58","1","0","1","1","3","1","3","1","0","4"
"tt0000059","59","1","1","0","0","2","1","2","3","0","5"
"tt0000060","60","30","3","7","5","4","2","2","1","1","7"
"tt0000061","61","1","0","0","1","1","4","1","2","0","4"
"tt0000062","62","15","7","19","31","42","23","6","3","1","11"
"tt0000063","63","1","1","0","0","2","0","3","2","0","5"
"tt0000064","64","1","1","0","0","1","1","1","3","1","5"
"tt0000065","65","1","1","0","0","1","1","2","3","0","5"
"tt0000066","66","1","1","0","0","2","0","1","3","1","5"
"tt0000067","67","11","2","1","3","6","4","5","1","4","5"
"tt0000068","68","1","0","1","0","2","1","3","0","0","5"
"tt0000069","69","10","3","9","29","64","103","64","38","18","14"
"tt0000070","70","154","107","252","572","661","307","105","50","35","39"
"tt0000071","71","2","1","0","0","1","1","3","1","0","7"
"tt0000072","72","2","0","1","0","2","1","3","2","0","4"
"tt0000073","73","1","0","0","1","2","1","3","0","0","5"
"tt0000074","74","2","0","1","1","1","3","5","0","0","4"
"tt0000075","75","66","57","180","389","478","240","72","39","27","25"
"tt0000076","76","5","0","6","24","49","157","103","45","18","28"
"tt0000077","77","2","1","1","0","3","5","3","0","0","4"
"tt0000078","78","4","0","1","3","7","9","6","4","1","14"
"tt0000079","79","1","0","2","1","2","3","4","0","1","4"
"tt0000080","80","1","0","1","1","1","2","3","1","0","4"
"tt0000081","81","1","0","1","1","1","3","4","0","0","4"
"tt0000082","82","6","0","0","0","3","3","2","3","1","7"
"tt0000083","83","1","1","0","2","4","5","2","0","0","4"
"tt0000084","84","1","1","0","1","2","5","2","0","0","4"
"tt0000085","85","2","1","0","1","3","3","3","0","0","4"
"tt0000086","86","1","0","1","1","2","2","3","1","0","4"
"tt0000087","87","2","1","1","0","3","5","2","0","1","4"
"tt0000088","88","2","0","1","1","2","4","2","0","0","4"
"tt0000089","89","61","26","103","191","214","124","53","26","16","22"
"tt0000090","90","1","1","0","1","1","2","4","1","0","4"
"tt0000091","91","226","155","404","863","653","314","110","50","31","28"
"tt0000092","92","1","0","2","0","2","3","2","0","0","3"
"tt0000093","93","5","1","2","5","9","20","7","6","2","9"
"tt0000094","94","1","0","0","1","3","3","3","1","0","3"
"tt0000095","95","1","1","2","1","2","6","4","1","0","3"
"tt0000096","96","1","0","0","2","2","2","2","0","0","3"
"tt0000097","97","1","1","1","2","2","5","3","0","0","3"
"tt0000098","98","3","1","0","3","3","5","2","0","0","3"
"tt0000099","99","2","0","0","1","2","4","2","1","0","3"
"tt0000100","100","4","1","3","2","5","3","6","2","0","7"
"tt0000101","101","1","1","0","1","2","4","1","0","0","3"
"tt0000102","102","1","0","1","0","3","4","3","0","0","2"
"tt0000103","103","2","2","1","0","4","4","1","0","0","2"
"tt0000104","104","12","4","22","58","119","99","34","17","8","14"
"tt0000105","105","2","0","1","1","4","3","1","0","0","2"
"tt0000106","106","1","1","0","0","2","3","3","0","0","2"
"tt0000107","107","2","0","0","3","4","2","1","0","0","2"
"tt0000108","108","7","0","8","22","56","142","99","53","26","32"
"tt0000109","109","7","0","6","23","56","152","103","52","14","25"
"tt0000110","110","9","0","5","24","59","130","109","50","26","29"
"tt0000111","111","7","1","7","28","55","154","97","51","20","30"
"tt0000112","112","7","0","6","28","57","148","96","51","17","29"
"tt0000113","113","13","3","6","26","50","138","111","47","23","36"
"tt0000114","114","2","0","1","2","3","4","1","0","0","2"
"tt0000115","115","2","0","1","2","2","5","2","0","1","2"
"tt0000116","116","2","0","2","0","5","3","1","0","0","2"
"tt0000117","117","8","2","5","17","24","38","14","4","3","9"
"tt0000118","118","2","1","1","0","5","4","1","0","0","2"
"tt0000119","119","3","2","1","2","9","6","2","1","0","3"
"tt0000120","120","3","1","2","2","7","7","4","0","1","3"
"tt0000121","121","3","0","2","2","4","16","9","6","0","8"
"tt0000122","122","2","0","0","2","5","3","1","0","0","2"
"tt0000123","123","5","4","4","9","18","21","5","2","3","3"
"tt0000124","124","2","1","0","2","5","3","1","0","0","2"
"tt0000125","125","1","0","0","1","2","1","1","0","0","2"
"tt0000126","126","3","1","1","0","4","5","1","0","0","2"
"tt0000127","127","1","1","0","1","2","3","3","0","0","3"
"tt0000128","128","4","2","1","2","4","8","1","0","0","3"
"tt0000129","129","8","2","2","9","8","2","1","0","0","4"
"tt0000130","130","2","1","1","0","5","3","2","0","0","2"
"tt0000131","131","41","27","73","212","328","230","86","56","24","17"
"tt0000132","132","22","3","39","86","181","295","125","63","33","29"
"tt0000133","133","6","1","3","2","4","2","2","0","0","3"
"tt0000134","134","2","0","0","0","1","0","2","0","0","3"
"tt0000135","135","22","2","2","0","6","7","3","0","1","9"
"tt0000136","136","510","344","935","1,488","747","345","112","58","44","67"
"tt0000137","137","2","0","0","1","1","4","1","0","1","3"
"tt0000138","138","47","40","97","254","243","107","37","22","10","12"
"tt0000139","139","1","1","1","1","3","5","1","1","0","2"
"tt0000140","140","9","3","10","22","51","57","34","18","12","11"
"tt0000141","141","3","3","0","6","15","18","6","5","3","3"
"tt0000142","142","2","0","1","0","1","2","2","0","0","3"
"tt0000143","143","6","1","2","19","43","70","25","12","13","9"
