"movie_id","movie_title","imdb_url","genre"
"242","Kolya (1996)","https://www.imdb.com/title/tt0116790/","Comedy,Drama,Music"
"302","L.A. Confidential (1997)","https://www.imdb.com/title/tt0119488/","Crime,Drama,Mystery,Thriller"
"377","Heavyweights (1994)","https://www.imdb.com/title/tt0110006/","Comedy,Drama,Family,Sport"
"51","Legends of the Fall (1994)","https://www.imdb.com/title/tt0110322/","Drama,Romance,War,Western"
"346","Jackie Brown (1997)","https://www.imdb.com/title/tt0119396/","Crime,Drama,Thriller"
"474","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","https://www.imdb.com/title/tt0057012/","Comedy"
"265","Hunt for Red October, The (1990)","https://www.imdb.com/title/tt0099810/","Action,Adventure,Thriller"
"465","Jungle Book, The (1994)","https://www.imdb.com/title/tt11908836/","Animation,Adventure,Family"
"451","Grease (1978)","https://www.imdb.com/title/tt0077631/","Musical,Romance"
"86","Remains of the Day, The (1993)","https://www.imdb.com/title/tt0452387/","Documentary,Short"
"257","Men in Black (1997)","https://www.imdb.com/title/tt0119654/","Action,Adventure,Comedy,Sci-Fi"
"1014","Romy and Michele's High School Reunion (1997)","https://www.imdb.com/title/tt0120032/","Comedy"
"222","Star Trek: First Contact (1996)","https://www.imdb.com/title/tt0117731/","Action,Adventure,Drama,Sci-Fi,Thriller"
"40","To Wong Foo, Thanks for Everything! Julie Newmar (1995)","https://www.imdb.com/title/tt0114682/","Comedy,Drama"
"29","Batman Forever (1995)","https://www.imdb.com/title/tt0112462/","Action,Adventure,Fantasy"
"785","Only You (1994)","https://www.imdb.com/title/tt0110737/","Comedy,Romance"
"387","Age of Innocence, The (1993)","https://www.imdb.com/title/tt0402289/","Documentary"
"274","Sabrina (1995)","https://www.imdb.com/title/tt0114319/","Comedy,Drama,Romance"
"1042","Just Cause (1995)","https://www.imdb.com/title/tt0113501/","Action,Crime,Drama,Mystery,Thriller"
"1184","Endless Summer 2, The (1994)","https://www.imdb.com/title/tt6140852/","Talk-Show"
"392","Man Without a Face, The (1993)","https://www.imdb.com/title/tt0107501/","Drama"
"486","Sabrina (1954)","https://www.imdb.com/title/tt0047437/","Comedy,Drama,Romance"
"144","Die Hard (1988)","https://www.imdb.com/title/tt0095016/","Action,Thriller"
"118","Twister (1996)","https://www.imdb.com/title/tt0117998/","Action,Adventure,Thriller"
"1","Toy Story (1995)","https://www.imdb.com/title/tt0114709/","Animation,Adventure,Comedy,Family,Fantasy"
"546","Broken Arrow (1996)","https://www.imdb.com/title/tt0115759/","Action,Adventure,Thriller"
"95","Aladdin (1992)","https://www.imdb.com/title/tt0103639/","Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance"
"768","Casper (1995)","https://www.imdb.com/title/tt0112642/","Comedy,Family,Fantasy"
"277","Restoration (1995)","https://www.imdb.com/title/tt0114272/","Biography,Drama,History,Romance"
"234","Jaws (1975)","https://www.imdb.com/title/tt0073195/","Adventure,Drama,Thriller"
"246","Chasing Amy (1997)","https://www.imdb.com/title/tt0118842/","Comedy,Drama,Romance"
"98","Silence of the Lambs, The (1991)","https://www.imdb.com/title/tt11040592/","Comedy,Horror"
"193","Right Stuff, The (1983)","https://www.imdb.com/title/tt1453707/","Documentary"
"88","Sleepless in Seattle (1993)","https://www.imdb.com/title/tt0108160/","Comedy,Drama,Romance"
"194","Sting, The (1973)","https://www.imdb.com/title/tt0070735/","Comedy,Crime,Drama"
"1081","Curdled (1996)","https://www.imdb.com/title/tt0115994/","Comedy,Crime,Thriller"
"603","Rear Window (1954)","https://www.imdb.com/title/tt0047396/","Mystery,Thriller"
"796","Speechless (1994)","https://www.imdb.com/title/tt0111256/","Comedy,Romance"
"32","Crumb (1994)","https://www.imdb.com/title/tt0109508/","Documentary,Biography,Comedy"
"16","French Twist (Gazon maudit) (1995)","https://www.imdb.com/title/tt0113149/","Comedy"
"304","Fly Away Home (1996)","https://www.imdb.com/title/tt0116329/","Adventure,Drama,Family"
"979","Trigger Effect, The (1996)","https://www.imdb.com/title/tt6148556/","Talk-Show"
"564","Tales from the Hood (1995)","https://www.imdb.com/title/tt0114609/","Crime,Horror,Thriller"
"327","Cop Land (1997)","https://www.imdb.com/title/tt0118887/","Crime,Drama,Thriller"
"201","Evil Dead II (1987)","https://www.imdb.com/title/tt0092991/","Comedy,Horror"
"1137","Beautiful Thing (1996)","https://www.imdb.com/title/tt0115640/","Comedy,Drama,Romance"
"241","Last of the Mohicans, The (1992)","https://www.imdb.com/title/tt0104691/","Action,Adventure,Drama,Romance,War"
"4","Get Shorty (1995)","https://www.imdb.com/title/tt0113161/","Comedy,Crime,Thriller"
"332","Kiss the Girls (1997)","https://www.imdb.com/title/tt0119468/","Crime,Drama,Mystery,Thriller"
"100","Fargo (1996)","https://www.imdb.com/title/tt0116282/","Crime,Drama,Thriller"
"432","Fantasia (1940)","https://www.imdb.com/title/tt0032455/","Animation,Family,Fantasy,Music"
"322","Murder at 1600 (1997)","https://www.imdb.com/title/tt0119731/","Action,Crime,Drama,Mystery,Thriller"
"181","Return of the Jedi (1983)","https://www.imdb.com/title/tt2301123/","Action,Adventure,Sci-Fi"
"196","Dead Poets Society (1989)","https://www.imdb.com/title/tt0097165/","Comedy,Drama"
"679","Conan the Barbarian (1981)","https://www.imdb.com/title/tt0082198/","Action,Adventure,Fantasy"
"384","Naked Gun 33 1/3: The Final Insult (1994)","https://www.imdb.com/title/tt0110622/","Comedy,Crime"
"143","Sound of Music, The (1965)","https://www.imdb.com/title/tt11045992/","Musical"
"423","E.T. the Extra-Terrestrial (1982)","https://www.imdb.com/title/tt0083866/","Family,Sci-Fi"
"515","Boot, Das (1981)","https://www.imdb.com/title/tt0082096/","Adventure,Drama,Thriller,War"
"20","Angels and Insects (1995)","https://www.imdb.com/title/tt0112365/","Drama,Romance"
"288","Scream (1996)","https://www.imdb.com/title/tt0117571/","Horror,Mystery"
"219","Nightmare on Elm Street, A (1984)","https://www.imdb.com/title/tt0087800/","Horror"
"526","Ben-Hur (1959)","https://www.imdb.com/title/tt0052618/","Adventure,Drama,History"
"919","City of Lost Children, The (1995)","https://www.imdb.com/title/tt0112682/","Fantasy,Sci-Fi"
"26","Brothers McMullen, The (1995)","https://www.imdb.com/title/tt6155832/","Talk-Show"
"232","Young Guns (1988)","https://www.imdb.com/title/tt0096487/","Action,Western"
"427","To Kill a Mockingbird (1962)","https://www.imdb.com/title/tt0056592/","Crime,Drama"
"512","Wings of Desire (1987)","https://www.imdb.com/title/tt0093191/","Drama,Fantasy,Romance"
"15","Mr. Holland's Opus (1995)","https://www.imdb.com/title/tt0113862/","Drama,Music"
"1049","House Arrest (1996)","https://www.imdb.com/title/tt0116571/","Comedy,Family"
"416","Old Yeller (1957)","https://www.imdb.com/title/tt0050798/","Adventure,Drama,Family,Western"
"165","Jean de Florette (1986)","https://www.imdb.com/title/tt0091288/","Drama"
"690","Seven Years in Tibet (1997)","https://www.imdb.com/title/tt0120102/","Adventure,Biography,Drama,History,War"
"248","Grosse Pointe Blank (1997)","https://www.imdb.com/title/tt0119229/","Action,Comedy,Crime,Romance,Thriller"
"1444","That Darn Cat! (1965)","https://www.imdb.com/title/tt0059793/","Comedy,Crime,Family,Thriller"
"5","Copycat (1995)","https://www.imdb.com/title/tt0112722/","Drama,Mystery,Thriller"
"229","Star Trek III: The Search for Spock (1984)","https://www.imdb.com/title/tt0088170/","Action,Adventure,Sci-Fi"
"237","Jerry Maguire (1996)","https://www.imdb.com/title/tt0116695/","Comedy,Drama,Romance,Sport"
"480","North by Northwest (1959)","https://www.imdb.com/title/tt0053125/","Adventure,Mystery,Thriller"
"54","Outbreak (1995)","https://www.imdb.com/title/tt0114069/","Action,Drama,Thriller"
